Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Ariel Ortega,2,1994-1998-2002,Argentina,Libertador General San Martín,Argentina,0.0,0.0
Marcos Rojo,2,2014-2018,Argentina,La Plata,Argentina,0.0,0.0
Hector Yazalde,2,1974,Argentina,Avellaneda,Argentina,0.0,0.0
Adolfo Zumelzu,2,1930,Argentina,Buenos Aires,Argentina,0.0,0.0
Brett Holman,2,2010,Australia,Bankstown,Australia,0.0,0.0
Hans Horvath,2,1934,Austria-Hungary,NULL,Austria,0.0,0.0
Robert Korner,2,1954,Austria,NULL,Austria,0.0,0.0
Ernst Ocwirk,2,1954,Austria,Vienna,Austria,0.0,0.0
Walter Schachner,2,1978-1982,Austria,Leoben,Austria,0.0,0.0
Philippe Albert,2,1990-1994,Belgium,Bouillon,Belgium,0.0,0.0
Kevin De Bruyne,2,2014-2018,Belgium,Drongen,Belgium,0.0,0.0
Marc Degryse,2,1990-1994,Belgium,Roeselare,Belgium,0.0,0.0
Marouane Fellaini,2,2014-2018,Belgium,Etterbeek,Belgium,0.0,0.0
Raoul Lambert,2,1970,Belgium,Bruges,Belgium,0.0,0.0
Dries Mertens,2,2014-2018,Belgium,Leuven,Belgium,0.0,0.0
Wilfried Van Moer,2,1970-1982,Belgium,Beveren,Belgium,0.0,0.0
Jan Vertonghen,2,2014-2018,Belgium,Sint-Niklaas,Belgium,0.0,0.0
Bernard Voorhoof,2,1930-1934-1938,Belgium,Lier,Belgium,0.0,0.0
Adriano,2,2006,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Jose Altafini,2,1958-1962,Brazil,Piracicaba,Brazil,0.0,0.0
Philippe Coutinho,2,2018,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Eder,2,1982,Brazil,Vespasiano,Brazil,0.0,0.0
Elano,2,2010,Brazil,Iracemápolis,Brazil,0.0,0.0
Fred,2,2006-2014,Brazil,Belo Horizonte,Brazil,0.0,0.0
Jair,2,1950,Brazil,Quatis,Brazil,0.0,0.0
Josimar,2,1986,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Julinho,2,1954,Brazil,São Paulo,Brazil,0.0,0.0
David Luiz,2,2014,Brazil,Diadema,Brazil,0.0,0.0
Moderato,2,1930,Brazil,Alegrete,Brazil,0.0,0.0
Muller,2,1986-1990,Brazil,Campo Grande,Brazil,0.0,0.0
Nelinho,2,1974-1978,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Oscar,2,2014,Brazil,Americana-Sao Paulo,Brazil,0.0,0.0
Pinga,2,1954,Brazil,São Paulo,Brazil,0.0,0.0
Robinho,2,2006-2010,Brazil,São Vicente,Brazil,0.0,0.0
Ronaldinho,2,2002-2006,Brazil,Porto Alegre,Brazil,0.0,0.0
Serginho,2,1982,Brazil,São Paulo,Brazil,0.0,0.0
Thiago Silva,2,2014-2018,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Zagallo,2,1958-1962,Brazil,Atalaia - Alagoas,Brazil,0.0,0.0
Zizinho,2,1950,Brazil,São Gonçalo - Rio de Janeiro,Brazil,0.0,0.0
Georgi Asparukhov,2,1962-1966-1970,Bulgaria,Sofia,Bulgaria,0.0,0.0
Hristo Bonev,2,1970-1974,Bulgaria,Plovdiv,Bulgaria,0.0,0.0
Iordan Letchkov,2,1994,Bulgaria,Sliven,Bulgaria,0.0,0.0
Nasko Sirakov,2,1986-1994,Bulgaria,Stara Zagora,Bulgaria,0.0,0.0
Patrick Mboma,2,1998-2002,Cameroon,Douala,Cameroon,0.0,0.0
Francois Omam Biyik,2,1990-1994-1998,Cameroon,Sackbayeme,Cameroon,0.0,0.0
Jean Beausejour,2,2010-2014,Chile,Santiago,Chile,0.0,0.0
Atilio Cremaschi,2,1950,Chile,Punta Arenas,Chile,0.0,0.0
Ruben Marcos,2,1966,Chile,Osorno,Chile,0.0,0.0
Jaime Ramirez,2,1962,Chile,Santiago,Chile,0.0,0.0
Eladio Rojas,2,1962,Chile,Tierra Amarilla,Chile,0.0,0.0
Alexis Sanchez,2,2014,Chile,Tocopilla,Chile,0.0,0.0
Jorge Toro,2,1962,Chile,Santiago,Chile,0.0,0.0
Juan Cuadrado,2,2014-2018,Colombia,Necoclí,Colombia,0.0,0.0
Jackson Martinez,2,2014,Colombia,Quibdó,Colombia,0.0,0.0
Bernardo Redin,2,1990,Colombia,Cali,Colombia,0.0,0.0
Adolfo Valencia,2,1994-1998,Colombia,Buenaventura,Colombia,0.0,0.0
Bryan Ruiz,2,2014,Costa Rica,San José,Costa Rica,0.0,0.0
Wilfried Bony,2,2014,Côte d'Ivoire,Bingerville,Côte d'Ivoire,0.0,0.0
Aruna Dindane,2,2006-2010,Côte d'Ivoire,Abidjan,Côte d'Ivoire,0.0,0.0
Didier Drogba,2,2006-2010,Côte d'Ivoire,Abidjan,Côte d'Ivoire,0.0,0.0
Gervinho,2,2014,Côte d'Ivoire,Anyama,Côte d'Ivoire,0.0,0.0
Luka Modric,2,2018,Croatia,Zadar,Croatia,0.0,0.0
Ivica Olic,2,2002-2006-2014,Croatia,Davor,Croatia,0.0,0.0
Hector Socorro,2,1938,Cuba,Cuba,Cuba,0.0,0.0
Michal Bilek,2,1990,Czech,Prague,Czechia,0.0,0.0
Milan Dvorak,2,1958,Czech,Prague,Czechia,0.0,0.0
Vaclav Hovorka,2,1958,Czech,NULL,Czechoslovakia,0.0,0.0
Antonin Panenka,2,1982,Czech,Prague,Czechia,0.0,0.0
Ladislav Petras,2,1970,Czech,Prievidza,Slovakia,0.0,0.0
Antonin Puc,2,1934-1938,Czech,Jinonice,Czechia,0.0,0.0
Frantisek Svoboda,2,1934,Czech,Vienna,Austria,0.0,0.0
Tomas Rosicky,2,2006,Czech Republic,Prague,Czechia,0.0,0.0
Brian Laudrup,2,1998,Denmark,Vienna,Austria,0.0,0.0
Michael Laudrup,2,1986-1998,Denmark,Frederiksberg,Denmark,0.0,0.0
Dennis Rommedahl,2,2002-2010,Denmark,Copenhagen,Denmark,0.0,0.0
Juan Quintero,2,2014-2018,Colombia,Medellín,Colombia,0.0,0.0
Carlos Tenorio,2,2002-2006,Ecuador,Esmeraldas,Ecuador,0.0,0.0
Abdel Fawzi,2,1934,Egypt,Port Said,Egypt,0.0,0.0
