Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Josef Zeman,1,1938,Czech,Drun?e,Czechia,0.0,0.0
Jan Koller,1,2006,Czech Republic,Prague,Czechia,0.0,0.0
Nicklas Bendtner,1,2010,Denmark,Copenhagen,Denmark,0.0,0.0
John Eriksen,1,1986,Denmark,Assens - Denmark,Denmark,0.0,0.0
Christian Eriksen,1,2018,Denmark,Middelfart,Denmark,0.0,0.0
Thomas Helveg,1,1998-2002,Denmark,Odense,Denmark,0.0,0.0
Martin Jorgensen,1,1998-2002-2010,Denmark,Ryomgård,Denmark,0.0,0.0
Mathias Jorgensen,1,2018,Denmark,Copenhagen,Denmark,0.0,0.0
Soren Lerby,1,1986,Denmark,Copenhagen,Denmark,0.0,0.0
Peter Moller,1,1998,Denmark,Abildgård,Norway,0.0,0.0
Allan Nielsen,1,1998,Denmark,Esbjerg,Denmark,0.0,0.0
Yussuf Yurary Poulsen,1,2018,Denmark,Copenhagen,Denmark,0.0,0.0
Marc Rieper,1,1998,Denmark,Rødovre,Denmark,0.0,0.0
Ebbe Sand,1,1998-2002,Denmark,Aalborg,Denmark,0.0,0.0
Ivan Kaviedes,1,2002-2006,Ecuador,Santo Domingo de Los Colorados,Ecuador,0.0,0.0
Edison Mendez,1,2002-2006,Ecuador,Ibarra - Ecuador,Ecuador,0.0,0.0
Magdy Abedelghani,1,1990,Egypt,Cairo,Egypt,0.0,0.0
Luis Ramirez,1,1982,El Salvador,San Salvador,El Salvador,0.0,0.0
Dele Alli,1,2018,England,Milton Keynes,United Kingdom,0.0,0.0
Darren Anderton,1,1998,England,Southampton,United Kingdom,0.0,0.0
Peter Beardsley,1,1986-1990,England,Hexham,United Kingdom,0.0,0.0
Sol Campbell,1,1998-2002-2006,England,Plaistow - Newham,United Kingdom,0.0,0.0
Allan Clarke,1,1970,England,Shortheath,United Kingdom,0.0,0.0
Joe Cole,1,2002-2006-2010,England,Paddington,United Kingdom,0.0,0.0
Peter Crouch,1,2006-2010,England,Macclesfield,United Kingdom,0.0,0.0
Jermain Defoe,1,2010,England,Beckton,United Kingdom,0.0,0.0
Rio Ferdinand,1,2002-2006,England,Camberwell,United Kingdom,0.0,0.0
Jimmy Greaves,1,1962-1966,England,Manor Park - Essex,United Kingdom,0.0,0.0
Johnny Haynes,1,1958-1962,England,Kentish Town,United Kingdom,0.0,0.0
Emile Heskey,1,2002-2010,England,Leicester,United Kingdom,0.0,0.0
Gerry Hitchens,1,1962,England,Rawnsley - Staffordshire - England,United Kingdom,0.0,0.0
Jesse Lingard,1,2018,England,Warrington,United Kingdom,0.0,0.0
Harry Maguire,1,2018,England,Sheffield,United Kingdom,0.0,0.0
Wilf Mannion,1,1950,England,South Bank - Middlesbrough,United Kingdom,0.0,0.0
Paul Mariner,1,1982,England,Farnworth,United Kingdom,0.0,0.0
Stan Mortensen,1,1950,England,South Shields,United Kingdom,0.0,0.0
Jimmy Mullen,1,1950-1954,England,Newcastle upon Tyne,United Kingdom,0.0,0.0
Alan Mullery,1,1970,England,Notting Hill,United Kingdom,0.0,0.0
Wayne Rooney,1,2014,England,Liverpool,United Kingdom,0.0,0.0
Paul Scholes,1,1998-2002,England,Salford,United Kingdom,0.0,0.0
Daniel Sturridge,1,2014,England,Birmingham,United Kingdom,0.0,0.0
Kieran Trippier,1,2018,England,Bury - Greater Manchester,United Kingdom,0.0,0.0
Matt Upson,1,2010,England,Eye - Suffolk,United Kingdom,0.0,0.0
Dennis Wilshaw,1,1954,England,Stoke-on-Trent,United Kingdom,0.0,0.0
Mark Wright,1,1990,England,Dorchester-on-Thames,United Kingdom,0.0,0.0
Manuel Amoros,1,1982-1986,France,Nîmes,France,0.0,0.0
Marc Berdoll,1,1978,France,Trélazé,France,0.0,0.0
Laurent Blanc,1,1998,France,Alès,France,0.0,0.0
Maxime Bossis,1,1978-1982-1986,France,Saint-André-Treize-Voies,France,0.0,0.0
Alain Couriol,1,1982,France,Paris - France,France,0.0,0.0
Hector De Bourgoing,1,1966,France,Posadas - Misiones,Argentina,0.0,0.0
Youri Djorkaeff,1,1998-2002,France,Lyon,France,0.0,0.0
Yvon Douis,1,1958,France,Les Andelys,France,0.0,0.0
Christophe Dugarry,1,1998-2002,France,Lormont,France,0.0,0.0
Leroy Fer,1,2014,France,Zoetermeer,Netherlands,0.0,0.0
Luis Fernandez,1,1986,France,Tarifa,Spain,0.0,0.0
Jean Marc Ferreri,1,1986,France,Charlieu,France,0.0,0.0
Rene Girard,1,1982,France,Vauvert,France,0.0,0.0
Gerard Hausser,1,1966,France,Strasbourg,France,0.0,0.0
Oscar Heisserer,1,1938,France,Schirrhein,France,0.0,0.0
Bernard Lacombe,1,1978-1982,France,Lyon,France,0.0,0.0
Marcel Langiller,1,1930,France,Charenton-le-Pont,France,0.0,0.0
Lucien Laurent,1,1930,France,Saint-Maur-des-Fossés,France,0.0,0.0
Bixente Lizarazu,1,1998-2002,France,Saint-Jean-de-Luz,France,0.0,0.0
Christian Lopez,1,1978-1982,France,Ain Temouchent,Algeria,0.0,0.0
Florent Malouda,1,2006-2010,France,Cayenne,France,0.0,0.0
Blaise Matuidi,1,2014,France,Toulouse,France,0.0,0.0
Benjamin Pavard,1,2018,France,Maubeuge,France,0.0,0.0
Franck Ribery,1,2006-2010,France,Boulogne-sur-Mer,France,0.0,0.0
Moussa Sissoko,1,2014,France,Le Blanc-Mesnil,France,0.0,0.0
Gerard Soler,1,1982,France,Oujda,Morocco,0.0,0.0
Jean Tigana,1,1982-1986,France,Bamako,Mali,0.0,0.0
Marius Tresor,1,1978-1982,France,Sainte-Anne - Guadeloupe,France,0.0,0.0
David Trezeguet,1,1998-2002-2006,France,Rouen,France,0.0,0.0
Samuel Umtiti,1,2018,France,Yaoundé,Cameroon,0.0,0.0
Mathieu Valbuena,1,2014,France,Bruges - Gironde,France,0.0,0.0
Raphael Varane,1,2018,France,Lille,France,0.0,0.0
Emile Veinante,1,1930-1938,France,Metz,France,0.0,0.0
Georges Verriest,1,1934,France,Roubaix,France,0.0,0.0
Ruediger Abramczik,1,1978,Germany,Gelsenkirchen,Germany,0.0,0.0
Uwe Bein,1,1990,Germany,Heringen,France,0.0,0.0
Marco Bode,1,2002,Germany,Osterode am Harz,Germany,0.0,0.0
Rainer Bonhof,1,1974-1978,Germany,Emmerich am Rhein,Germany,0.0,0.0
Albert Brulls,1,1962-1966,Germany,Anrath,Germany,0.0,0.0
Cacau,1,2010,Germany,Santo André - São Paulo,Brazil,0.0,0.0
Hans Ciesclarczyk,1,1958,Germany,Herne,Germany,0.0,0.0
Bernd Cullmann,1,1974,Germany,Rötsweiler-Nockenthal,Germany,0.0,0.0
Lothar Emmerich,1,1966,Germany,Nazi Germany,Germany,0.0,0.0
Arne Friedrich,1,2006-2010,Germany,Bad Oeynhausen,Germany,0.0,0.0
Torsten Frings,1,2002-2006,Germany,Würselen,Germany,0.0,0.0
Josef Gauchel,1,1938,Germany,German Empire,Germany,0.0,0.0
Juergen Grabowski,1,1970-1974,Germany,Wiesbaden,Germany,0.0,0.0
Willhelm Hahnemann,1,1938,Germany,Vienna,Austria,0.0,0.0
Sigi Held,1,1966-1970,Germany,Bruntál,Czechia,0.0,0.0
Richard Herrmann,1,1954,Germany,Katowice,Poland,0.0,0.0
Martin Hoffmann,1,1974,Germany,Gommern,Germany,0.0,0.0
Bernd Holzenbein,1,1974-1978,Germany,Runkel,Germany,0.0,0.0
Uli Honess,1,1974,Germany,Ulm,Germany,0.0,0.0
Horst Hrubesch,1,1982,Germany,Hamm,Germany,0.0,0.0
Carsten Jancker,1,2002,Germany,Grevesmühlen,Germany,0.0,0.0
Marcell Jansen,1,2006-2010,Germany,Mönchengladbach,Germany,0.0,0.0
Berni Klodt,1,1954-1958,Germany,Gelsenkirchen,Germany,0.0,0.0
Stanislaus Kobierski,1,1934,Germany,Düsseldorf,Germany,0.0,0.0
Philipp Lahm,1,2006-2010,Germany,Munich,Germany,0.0,0.0
Stan Libuda,1,1970,Germany,Dörentrup,Germany,0.0,0.0
Thomas Linke,1,2002,Germany,Sömmerda,Germany,0.0,0.0
Andreas Möller,1,1990-1994-1998,Germany,Frankfurt,Germany,0.0,0.0
Hansi Muller,1,1978-1982,Germany,Stuttgart,Germany,0.0,0.0
Rudolf Noack,1,1934,Germany,Harburg - Hamburg,Germany,0.0,0.0
Alfred Pfaff,1,1954,Germany,Rödelheim (Frankfurt am Main),Germany,0.0,0.0
Uwe Reinders,1,1982,Germany,Essen,Germany,0.0,0.0
Marco Reus,1,2018,Germany,Dortmund,Germany,0.0,0.0
Karlheinz Riedle,1,1990-1994,Germany,Weiler im Allgäu,Germany,0.0,0.0
Bernd Schneider,1,2002-2006,Germany,Jena,Germany,0.0,0.0
Karl Heinz Schnellinger,1,1958-1962-1966-1970,Germany,Düren,Germany,0.0,0.0
Otto Siffling,1,1934,Germany,Mannheim,Germany,0.0,0.0
Juergen Sparwasser,1,1974,Germany,Halberstadt,Germany,0.0,0.0
Horst Szymaniak,1,1958-1962,Germany,Oer-Erkenschwick,Germany,0.0,0.0
Stephen Appiah,1,2006-2010,Ghana,Accra,Ghana,0.0,0.0
Kevin Prince Boateng,1,2010,Ghana,Berlin,Germany,0.0,0.0
Haminu Draman,1,2006,Ghana,Techiman,Ghana,0.0,0.0
Sokratis Papastathopoulos,1,2014,Greece,Kalamata,Greece,0.0,0.0
Dimitrios Salpingidis,1,2010,Greece,Zagliveri,Greece,0.0,0.0
Georgios Samaras,1,2014,Greece,Heraklion,Greece,0.0,0.0
Andreas Samaris,1,2014,Greece,Patras,Greece,0.0,0.0
Vasileios Torosidis,1,2010,Greece,Xanthi,Greece,0.0,0.0
Carlo Costly,1,2014,Honduras,San Pedro Sula,Honduras,0.0,0.0
Eduardo Laing,1,1982,Honduras,Puerto Cortes,Honduras,0.0,0.0
Hector Zelaya,1,1982,Honduras,Trinidad - Santa Bárbara,Paraguay,0.0,0.0
Jozsef Bencsis,1,1958,Hungary,Szombathely,Hungary,0.0,0.0
Jozsef Bozsik,1,1954-1958,Hungary,Kispest,Hungary,0.0,0.0
Karoly Csapo,1,1978,Hungary,Agyagosszergeny,Hungary,0.0,0.0
Lajos Detari,1,1986,Hungary,Budapest,Hungary,0.0,0.0
Marton Esterhazy,1,1986,Hungary,Budapest,Hungary,0.0,0.0
Janos Farkas,1,1966,Hungary,Budapest,Hungary,0.0,0.0
Vilmos Kohut,1,1938,Hungary,Budapest,Hungary,0.0,0.0
Karoly Sandor,1,1958-1962,Hungary,Szeged,Hungary,0.0,0.0
Ferenc Sas,1,1938,Hungary,Budapest,Hungary,0.0,0.0
Erno Solymosi,1,1962,Hungary,Kingdom of Hungary,Hungary,0.0,0.0
Lazar Szentes,1,1982,Hungary,Bonyhád,Hungary,0.0,0.0
Pavel Teleki,1,1934,Hungary,Arad,Romania,0.0,0.0
Jozsef Toth,1,1978-1982,Hungary,Mosonmagyaróvár,Hungary,0.0,0.0
Andras Toth,1,1978,Hungary,Budapest,Hungary,0.0,0.0
Jozsef Varga,1,1982-1986,Hungary,Budapest,Hungary,0.0,0.0
Jeno Vincze,1,1934-1938,Hungary,Kingdom of Hungary,Hungary,0.0,0.0
Sandor Zombori,1,1978,Hungary,Pécs,Hungary,0.0,0.0
Alfred Finnbogason,1,2018,Iceland,Grindavík,Iceland,0.0,0.0
Gylfi Sigurdsson,1,2018,Iceland,Reykjavík,Iceland,0.0,0.0
Karim Ansarifard,1,2018,Iran,Ardabil,Iran,0.0,0.0
Sohrab Bakhtiarizadeh,1,2006,Iran,Ahvaz,Iran,0.0,0.0
Iraj Danaeifard,1,1978,Iran,Tehran,Iran,0.0,0.0
Hamid Estili,1,1998,Iran,Tehran,Iran,0.0,0.0
Reza Ghoochannejad,1,2014,Iran,Mashhad,Iran,0.0,0.0
Yahya Golmohammadi,1,2006,Iran,Minabad - Ardabil,Iran,0.0,0.0
Mehdi Mahdavikia,1,1998-2006,Iran,Ray - Iran,Iran,0.0,0.0
Hassan Rowshan,1,1978,Iran,Tehran,Iran,0.0,0.0
Ahmed Radhi,1,1986,Iraq,Baghdad,Iraq,0.0,0.0
John Aldridge,1,1990-1994,Ireland,Liverpool,United Kingdom,0.0,0.0
Gary Breen,1,2002,Ireland,Hendon,United Kingdom,0.0,0.0
Damien Duff,1,2002,Ireland,Ballyboden,Ireland,0.0,0.0
Matt Holland,1,2002,Ireland,Bury - Greater Manchester,United Kingdom,0.0,0.0
Ray Houghton,1,1990-1994,Ireland,Glasgow,United Kingdom,0.0,0.0
Niall Quinn,1,1990-2002,Ireland,Dublin,Ireland,0.0,0.0
Kevin Sheedy,1,1990,Ireland,Builth Wells,United Kingdom,0.0,0.0
Mordechai Spiegler,1,1970,Israel,Asbest,Russia,0.0,0.0
Pietro Anastasi,1,1974,Italy,Catania,Italy,0.0,0.0
Mario Balotelli,1,2014,Italy,Palermo,Italy,0.0,0.0
Paolo Barison,1,1966,Italy,Vittorio Veneto,Italy,0.0,0.0
Giampiero Boniperti,1,1950-1954,Italy,Barengo,Italy,0.0,0.0
Tarcisio Burgnich,1,1966-1970-1974,Italy,Ruda - Italy,Italy,0.0,0.0
Antonio Cabrini,1,1978-1982-1986,Italy,Cremona,Italy,0.0,0.0
Fabio Capello,1,1974,Italy,San Canzian d'Isonzo,Italy,0.0,0.0
Franco Causio,1,1974-1978-1982,Italy,Lecce,Italy,0.0,0.0
Bruno Conti,1,1982-1986,Italy,Nettuno,Italy,0.0,0.0
Daniele De Rossi,1,2006-2010,Italy,Rome,Italy,0.0,0.0
Luigi Di Biagio,1,1998-2002,Italy,Rome,Italy,0.0,0.0
Antonio Di Natale,1,2010,Italy,Naples,Italy,0.0,0.0
Angelo Domenghini,1,1970,Italy,Lallio,Italy,0.0,0.0
Pietro Ferraris,1,1938,Italy,Vercelli,Italy,0.0,0.0
Amleto Frignani,1,1954,Italy,Carpi (Modena),Italy,0.0,0.0
Carlo Galli,1,1954,Italy,Montecatini Terme,Italy,0.0,0.0
Giuseppe Giannini,1,1990,Italy,Rome - Italy,Italy,0.0,0.0
Alberto Gilardino,1,2006-2010,Italy,Biella,Italy,0.0,0.0
Francesco Graziani,1,1982,Italy,Subiaco - Italy,Italy,0.0,0.0
Fabio Grosso,1,2006,Italy,Rome,Italy,0.0,0.0
Enrico Guaita,1,1934,Italy,Lucas González - Argentina,Argentina,0.0,0.0
Filippo Inzaghi,1,2002-2006,Italy,Piacenza,Italy,0.0,0.0
Benito Lorenzi,1,1954,Italy,Buggiano,Italy,0.0,0.0
Claudio Marchisio,1,2014,Italy,Turin,Italy,0.0,0.0
Daniele Massaro,1,1994,Italy,Monza,Italy,0.0,0.0
Sandro Mazzola,1,1966-1970-1974,Italy,Turin,Italy,0.0,0.0
Bruno Mora,1,1962,Italy,Parma,Italy,0.0,0.0
Ermes Muccinelli,1,1950-1954,Italy,Lugo di Romagna,Italy,0.0,0.0
Fulvio Nesti,1,1954,Italy,Lastra a Signa,Italy,0.0,0.0
Andrea Pirlo,1,2006-2010,Italy,Flero,Italy,0.0,0.0
Fabio Quagliarella,1,2010,Italy,Castellammare di Stabia,Italy,0.0,0.0
Aldo Serena,1,1986-1990,Italy,Montebelluna,Italy,0.0,0.0
Francesco Totti,1,2002-2006,Italy,Rome,Italy,0.0,0.0
Renato Zaccarelli,1,1978,Italy,Ancona,Italy,0.0,0.0
Gianluca Zambrotta,1,2002-2006-2010,Italy,Como,Italy,0.0,0.0
Robbie Earle,1,1998,Jamaica,Newcastle-under-Lyme,United Kingdom,0.0,0.0
Yasuhito Endo,1,2010,Japan,Kagoshima,Japan,0.0,0.0
Genki Haraguchi,1,2018,Japan,Kumagaya - Saitama,Japan,0.0,0.0
Shinji Kagawa,1,2018,Japan,Kobe,Japan,0.0,0.0
Hiroaki Morishima,1,2002,Japan,Hiroshima,Japan,0.0,0.0
Shunsuke Nakamura,1,2006-2010,Japan,Yokohama,Japan,0.0,0.0
Hidetoshi Nakata,1,1998-2002-2006,Japan,Kofu,Japan,0.0,0.0
Masashi Nakayama,1,1998-2002,Japan,Fujieda - Shizuoka,Japan,0.0,0.0
Yuya Osako,1,2018,Japan,Kaseda - Kagoshima,Japan,0.0,0.0
Takayuki Suzuki,1,2002,Japan,Hitachi - Ibaraki,Japan,0.0,0.0
Keiji Tamada,1,2006-2010,Japan,Urayasu,Japan,0.0,0.0
Abdulaziz Al-Buloushi,1,1982,Kuwait,NULL,Kuwait,0.0,0.0
Faisal Al-Dakhil,1,1982,Kuwait,Kuwait City,Kuwait,0.0,0.0
Tomas Balcazar,1,1954,Mexico,Guadalajara,Mexico,0.0,0.0
Ignacio Basaguren,1,1970,Mexico,Mexico City,Mexico,0.0,0.0
Jaime Belmonte,1,1958,Mexico,Mexico City,Mexico,0.0,0.0
Marcelino Bernal,1,1994-1998,Mexico,Tepic,Mexico,0.0,0.0
Enrique Borja,1,1966,Mexico,Mexico City,Mexico,0.0,0.0
Juan Carreno,1,1930,Mexico,Mexico,Mexico,0.0,0.0
Horacio Casarin,1,1950,Mexico,Mexico City,Mexico,0.0,0.0
Alfredo Del Aguila,1,1962,Mexico,Mexico City,Mexico,0.0,0.0
Isidoro Diaz,1,1962-1966,Mexico,Acatlán de Juárez,Mexico,0.0,0.0
Giovani Dos Santos,1,2014,Mexico,Monterrey,Mexico,0.0,0.0
Luis Flores,1,1986,Mexico,Mexico City,Mexico,0.0,0.0
Francisco Fonseca,1,2006,Mexico,León - Guanajuato,Mexico,0.0,0.0
Javier Fragoso,1,1966-1970,Mexico,Mexico City,Mexico,0.0,0.0
Roberto Gayon,1,1930,Mexico,San José - Costa Rica,El Salvador,0.0,0.0
Jose Gonzalez,1,1970,Mexico,Mexico City,Mexico,0.0,0.0
Andres Guardado,1,2014,Mexico,Guadalajara,Mexico,0.0,0.0
Hector Hernandez,1,1962,Mexico,Guadalajara,Mexico,0.0,0.0
Jose Lamadrid,1,1954,Mexico,Mexico City,Mexico,0.0,0.0
Hirving Lozano,1,2018,Mexico,Mexico City,Mexico,0.0,0.0
Manuel Negrete,1,1986,Mexico,Ciudad Altamirano-Guerrero,Mexico,0.0,0.0
Hector Ortiz,1,1950,Mexico,NULL,Mexico,0.0,0.0
Gustavo Pena,1,1966-1970,Mexico,Talpa de Allende,Mexico,0.0,0.0
Oribe Peralta,1,2014,Mexico,Torreón,Mexico,0.0,0.0
Victor Rangel,1,1978,Mexico,Mexico City,Mexico,0.0,0.0
Hugo Sanchez,1,1978-1986-1994,Mexico,Mexico City,Mexico,0.0,0.0
Raul Servin,1,1986,Mexico,Mexico City,Mexico,0.0,0.0
Gerardo Torrado,1,2002-2006-2010,Mexico,Mexico City,Mexico,0.0,0.0
Arturo Vazquez,1,1978,Mexico,Mexico City,Mexico,0.0,0.0
Carlos Vela,1,2018,Mexico,Cancún,China,0.0,0.0
Zinha,1,2006,Mexico,Itajá - Rio Grande do Norte,Brazil,0.0,0.0
Khalid Boutaib,1,2018,Morocco,Bagnols-sur-Cèze,France,0.0,0.0
Mohammed Chaouch,1,1994,Morocco,Aklim,Morocco,0.0,0.0
Youssef En Nesyri,1,2018,Morocco,Fez - Morocco,Morocco,0.0,0.0
Mahjoub Ghazouani,1,1970,Morocco,Hay Mohammadi,Morocco,0.0,0.0
Mustafa Hadji,1,1994-1998,Morocco,Tiznit,Morocco,0.0,0.0
Houmane Jarir,1,1970,Morocco,Casablanca - Morocco,Morocco,0.0,0.0
Abdelkarim Krimau,1,1986,Morocco,Casablanca,Morocco,0.0,0.0
Hassan Nader,1,1994,Morocco,Casablanca,Morocco,0.0,0.0
Edgar Davids,1,1998,Netherlands,Paramaribo,Suriname,0.0,0.0
Theo de Jong,1,1974,Netherlands,Leeuwarden,Netherlands,0.0,0.0
Stefan De Vrij,1,2014,Netherlands,Ouderkerk aan den IJssel,Netherlands,0.0,0.0
Ruud Gullit,1,1990,Netherlands,Amsterdam,Netherlands,0.0,0.0
Wim Kieft,1,1990,Netherlands,Amsterdam,Netherlands,0.0,0.0
Ronald Koeman,1,1990-1994,Netherlands,Zaandam,Netherlands,0.0,0.0
Ruud Krol,1,1974-1978,Netherlands,Amsterdam,Netherlands,0.0,0.0
Dirk Kuyt,1,2006-2010,Netherlands,Katwijk,Netherlands,0.0,0.0
Dick Nanninga,1,1978,Netherlands,Groningen (city),Netherlands,0.0,0.0
Marc Overmars,1,1994-1998,Netherlands,Emst,Germany,0.0,0.0
Bryan Roy,1,1994,Netherlands,Amsterdam,Netherlands,0.0,0.0
Kick Smit,1,1934-1938,Netherlands,Bloemendaal,Netherlands,0.0,0.0
Gaston Taument,1,1994,Netherlands,The Hague,Netherlands,0.0,0.0
Giovanni Van Bronckhorst,1,2006-2010,Netherlands,Rotterdam,Netherlands,0.0,0.0
Rene Van De Kerkhof,1,1974-1978,Netherlands,Helmond,Netherlands,0.0,0.0
Willy Van De Kerkhof,1,1978,Netherlands,Helmond,Netherlands,0.0,0.0
Pierre van Hooijdonk,1,1998,Netherlands,Steenbergen,Netherlands,0.0,0.0
Ruud Van Nistelrooy,1,2006,Netherlands,Oss,Netherlands,0.0,0.0
Leen Vente,1,1934-1938,Netherlands,Rotterdam,Netherlands,0.0,0.0
Georginio Wijnaldum,1,2014,Netherlands,Rotterdam,Netherlands,0.0,0.0
Aron Winter,1,1990-1994-1998,Netherlands,Paramaribo,Suriname,0.0,0.0
Boudewijn Zenden,1,1998,Netherlands,Maastricht,Netherlands,0.0,0.0
Winston Reid,1,2010,New Zealand,North Shore - New Zealand,New Zealand,0.0,0.0
Shane Smeltz,1,2010,New Zealand,Göppingen,Germany,0.0,0.0
Steve Sumner,1,1982,New Zealand,Preston - Lancashire,United Kingdom,0.0,0.0
Steve Wooddin,1,1982,New Zealand,England,United Kingdom,0.0,0.0
Mutiu Adepoju,1,1998,Nigeria,Ibadan,Nigeria,0.0,0.0
Julius Aghahowa,1,2002,Nigeria,Benin City,Nigeria,0.0,0.0
Tijani Babangida,1,1998,Nigeria,Kaduna,Nigeria,0.0,0.0
Finidi George,1,1994-1998,Nigeria,Port Harcourt,Nigeria,0.0,0.0
Victor Ikpeba,1,1998,Nigeria,Benin City,Nigeria,0.0,0.0
Victor Moses,1,2018,Nigeria,Lagos,Nigeria,0.0,0.0
Peter Odemwingie,1,2014,Nigeria,Tashkent,Uzbekistan,0.0,0.0
Sunday Oliseh,1,1994-1998,Nigeria,Delta State,Nigeria,0.0,0.0
Wilson Oruma,1,1998,Nigeria,Warri - Nigeria,Nigeria,0.0,0.0
Samson Siasia,1,1994,Nigeria,Lagos,Nigeria,0.0,0.0
Yakubu Aiyegbeni,1,2010,Nigeria,Benin City,Nigeria,0.0,0.0
Rasheed Yekini,1,1994-1998,Nigeria,Kaduna,Nigeria,0.0,0.0
Ji Yun Nam,1,2010,North Korea,Pyongyang,North Korea,0.0,0.0
Lee Dong Woon,1,1966,North Korea,Pyongyang,North Korea,0.0,0.0
Pak Doo Ik,1,1966,North Korea,Pyongyang,North Korea,0.0,0.0
Yang Seung Kook,1,1966,North Korea,Pyongyang,North Korea,0.0,0.0
Colin Clarke,1,1986,Northern Ireland,Newry,United Kingdom,0.0,0.0
Wilbur Cush,1,1958,Northern Ireland,Lurgan - County Armagh,United Kingdom,0.0,0.0
Norman Whiteside,1,1982-1986,Northern Ireland,Belfast,United Kingdom,0.0,0.0
Arne Brustad,1,1938,Norway,Oslo,Norway,0.0,0.0
Dan Eggen,1,1998,Norway,Oslo,Norway,0.0,0.0
Tore Andre Flo,1,1998,Norway,Flo - Norway,Norway,0.0,0.0
Havard Flo,1,1998,Norway,Flo - Norway,Norway,0.0,0.0
Felipe Baloy,1,2018,Panama,Panama City,Panama,0.0,0.0
Antolin Alcaraz,1,2010,Paraguay,San Roque González de Santa Cruz,Paraguay,0.0,0.0
Francisco Arce,1,1998-2002,Paraguay,Paraguari,Paraguay,0.0,0.0
Celso Ayala,1,1998-2002,Paraguay,Asunción,Paraguay,0.0,0.0
Miguel Benitez,1,1998,Paraguay,Santísima Trinidad (Asunción),Paraguay,0.0,0.0
Jorge Campos,1,1998-2002,Paraguay,Acapulco,Mexico,0.0,0.0
Jose Cardozo,1,1998-2002,Paraguay,Nueva Italia - Paraguay,Paraguay,0.0,0.0
Roque Santa Cruz,1,2002-2006-2010,Paraguay,Asunción,Paraguay,0.0,0.0
Atilio Lopez,1,1950,Paraguay,Villarrica - Paraguay,Paraguay,0.0,0.0
César López Fretes,1,1950,Paraguay,Asunción,Paraguay,0.0,0.0
Luis Vargas Pena,1,1930,Paraguay,Paraguay,Paraguay,0.0,0.0
Cayetano Re,1,1958,Paraguay,Asunción,Paraguay,0.0,0.0
Cristian Riveros,1,2006-2010,Paraguay,Juan Augusto Saldívar,Chile,0.0,0.0
Enrique Vera,1,2010,Paraguay,Asunción,Paraguay,0.0,0.0
Andre Carrillo,1,2018,Peru,Lima,Peru,0.0,0.0
Roberto Challe,1,1970,Peru,Lima,Peru,0.0,0.0
Hector Chumpitaz,1,1970-1978,Peru,San Vicente de Cañete,Peru,0.0,0.0
Cesar Cueto,1,1978-1982,Peru,Lima,Peru,0.0,0.0
Ruben Diaz,1,1978-1982,Peru,Lima,Peru,0.0,0.0
Paolo Guerrero,1,2018,Peru,Lima,Peru,0.0,0.0
Guillermo La Rosa,1,1978-1982,Peru,Lima,Peru,0.0,0.0
Luis Souza,1,1930,Peru,Lima,Peru,0.0,0.0
Jose Velasquez,1,1978-1982,Peru,Lima,Peru,0.0,0.0
Andrzej Buncol,1,1982-1986,Poland,Gliwice,Poland,0.0,0.0
Jerzy Gorgon,1,1974-1978,Poland,Zabrze,Poland,0.0,0.0
Grzegorz Krychowiak,1,2018,Poland,Gryfice,Poland,0.0,0.0
Stefan Majewski,1,1982-1986,Poland,Bydgoszcz,Poland,0.0,0.0
Emmanuel Olisadebe,1,2002,Poland,Warri,Australia,0.0,0.0
Fryedryk Szerfke,1,1938,Poland,Pozna?,Poland,0.0,0.0
Marcin Zewlakow,1,2002,Poland,Warsaw,Poland,0.0,0.0
Hugo Almeida,1,2010,Portugal,Figueira da Foz,Portugal,0.0,0.0
Beto,1,2002,Portugal,Lisbon,Portugal,0.0,0.0
Rui Costa,1,2002,Portugal,Amadora,Portugal,0.0,0.0
Deco,1,2006-2010,Portugal,São Bernardo do Campo,Brazil,0.0,0.0
Diamantino,1,1986,Portugal,Moita,Portugal,0.0,0.0
Nuno Gomes,1,2002-2006,Portugal,Amarante - Portugal,Portugal,0.0,0.0
Liedson,1,2010,Portugal,Cairu,Egypt,0.0,0.0
Carlos Manuel,1,1986,Portugal,Moita,Portugal,0.0,0.0
Raul Meireles,1,2010,Portugal,Porto,Portugal,0.0,0.0
Nani,1,2014,Portugal,Amadora,Portugal,0.0,0.0
Ricardo Quaresma,1,2018,Portugal,Lisbon,Portugal,0.0,0.0
Simoes,1,1966,Portugal,Corroios,Portugal,0.0,0.0
Varela,1,2014,Portugal,Almada (freguesia),Portugal,0.0,0.0
Iuliu Baratki,1,1938,Romania,Nagyvárad,Romania,0.0,0.0
Stefan Barbu,1,1930,Romania,Arad - Romania,Romania,0.0,0.0
Emerich Dembrovschi,1,1970,Romania,Câmpulung la Tisa,Romania,0.0,0.0
Adrian Ilie,1,1998,Romania,Craiova,Romania,0.0,0.0
Alexandru Neagu,1,1970,Romania,Bucharest,Romania,0.0,0.0
Constantin Stanciu,1,1930,Romania,Bucharest,Romania,0.0,0.0
Vladimir Beschastnykh,1,2002,Russia,Moscow,Russia,0.0,0.0
Mario Fernandes,1,2018,Russia,São Caetano do Sul,Brazil,0.0,0.0
Yury Gazinsky,1,2018,Russia,Komsomolsk-on-Amur,Russia,0.0,0.0
