Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Florent Malouda,1,2006-2010,France,Cayenne,,0.0,0.0
Blaise Matuidi,1,2014,France,Toulouse,,0.0,0.0
Benjamin Pavard,1,2018,France,Maubeuge,,0.0,0.0
Franck Ribery,1,2006-2010,France,Boulogne-sur-Mer,,0.0,0.0
Moussa Sissoko,1,2014,France,Le Blanc-Mesnil,,0.0,0.0
Gerard Soler,1,1982,France,Oujda,,0.0,0.0
Jean Tigana,1,1982-1986,France,Bamako,,0.0,0.0
Marius Tresor,1,1978-1982,France,Sainte-Anne - Guadeloupe,,0.0,0.0
David Trezeguet,1,1998-2002-2006,France,Rouen,,0.0,0.0
Samuel Umtiti,1,2018,France,Yaoundé,,0.0,0.0
Mathieu Valbuena,1,2014,France,Bruges - Gironde,,0.0,0.0
Raphael Varane,1,2018,France,Lille,,0.0,0.0
Emile Veinante,1,1930-1938,France,Metz,,0.0,0.0
Georges Verriest,1,1934,France,Roubaix,,0.0,0.0
Ruediger Abramczik,1,1978,Germany,Gelsenkirchen,,0.0,0.0
Uwe Bein,1,1990,Germany,Heringen,,0.0,0.0
Marco Bode,1,2002,Germany,Osterode am Harz,,0.0,0.0
Rainer Bonhof,1,1974-1978,Germany,Emmerich am Rhein,,0.0,0.0
Albert Brulls,1,1962-1966,Germany,Anrath,,0.0,0.0
Cacau,1,2010,Germany,Santo André - São Paulo,,0.0,0.0
Hans Ciesclarczyk,1,1958,Germany,Herne,,0.0,0.0
Bernd Cullmann,1,1974,Germany,Rötsweiler-Nockenthal,,0.0,0.0
Lothar Emmerich,1,1966,Germany,Nazi Germany,,0.0,0.0
Arne Friedrich,1,2006-2010,Germany,Bad Oeynhausen,,0.0,0.0
Torsten Frings,1,2002-2006,Germany,Würselen,,0.0,0.0
Josef Gauchel,1,1938,Germany,German Empire,,0.0,0.0
Juergen Grabowski,1,1970-1974,Germany,Wiesbaden,,0.0,0.0
Willhelm Hahnemann,1,1938,Germany,Vienna,,0.0,0.0
Sigi Held,1,1966-1970,Germany,Bruntál,,0.0,0.0
Richard Herrmann,1,1954,Germany,Katowice,,0.0,0.0
Martin Hoffmann,1,1974,Germany,Gommern,,0.0,0.0
Bernd Holzenbein,1,1974-1978,Germany,Runkel,,0.0,0.0
Uli Honess,1,1974,Germany,Ulm,,0.0,0.0
Horst Hrubesch,1,1982,Germany,Hamm,,0.0,0.0
Carsten Jancker,1,2002,Germany,Grevesmühlen,,0.0,0.0
Marcell Jansen,1,2006-2010,Germany,Mönchengladbach,,0.0,0.0
Berni Klodt,1,1954-1958,Germany,Gelsenkirchen,,0.0,0.0
Stanislaus Kobierski,1,1934,Germany,Düsseldorf,,0.0,0.0
Philipp Lahm,1,2006-2010,Germany,Munich,,0.0,0.0
Stan Libuda,1,1970,Germany,Dörentrup,,0.0,0.0
Thomas Linke,1,2002,Germany,Sömmerda,,0.0,0.0
Andreas Möller,1,1990-1994-1998,Germany,Frankfurt,,0.0,0.0
Hansi Muller,1,1978-1982,Germany,Stuttgart,,0.0,0.0
Rudolf Noack,1,1934,Germany,Harburg - Hamburg,,0.0,0.0
Alfred Pfaff,1,1954,Germany,Rödelheim (Frankfurt am Main),,0.0,0.0
Uwe Reinders,1,1982,Germany,Essen,,0.0,0.0
Marco Reus,1,2018,Germany,Dortmund,,0.0,0.0
Karlheinz Riedle,1,1990-1994,Germany,Weiler im Allgäu,,0.0,0.0
Bernd Schneider,1,2002-2006,Germany,Jena,,0.0,0.0
Karl Heinz Schnellinger,1,1958-1962-1966-1970,Germany,Düren,,0.0,0.0
Otto Siffling,1,1934,Germany,Mannheim,,0.0,0.0
Juergen Sparwasser,1,1974,Germany,Halberstadt,,0.0,0.0
Horst Szymaniak,1,1958-1962,Germany,Oer-Erkenschwick,,0.0,0.0
Stephen Appiah,1,2006-2010,Ghana,Accra,,0.0,0.0
Kevin Prince Boateng,1,2010,Ghana,Berlin,,0.0,0.0
Haminu Draman,1,2006,Ghana,Techiman,,0.0,0.0
Sokratis Papastathopoulos,1,2014,Greece,Kalamata,,0.0,0.0
Dimitrios Salpingidis,1,2010,Greece,Zagliveri,,0.0,0.0
Georgios Samaras,1,2014,Greece,Heraklion,,0.0,0.0
Andreas Samaris,1,2014,Greece,Patras,,0.0,0.0
Vasileios Torosidis,1,2010,Greece,Xanthi,,0.0,0.0
Carlo Costly,1,2014,Honduras,San Pedro Sula,,0.0,0.0
Eduardo Laing,1,1982,Honduras,Puerto Cortes,,0.0,0.0
Hector Zelaya,1,1982,Honduras,Trinidad - Santa Bárbara,,0.0,0.0
Jozsef Bencsis,1,1958,Hungary,Szombathely,,0.0,0.0
Jozsef Bozsik,1,1954-1958,Hungary,Kispest,,0.0,0.0
Karoly Csapo,1,1978,Hungary,Agyagosszergeny,,0.0,0.0
Lajos Detari,1,1986,Hungary,Budapest,,0.0,0.0
Marton Esterhazy,1,1986,Hungary,Budapest,,0.0,0.0
Janos Farkas,1,1966,Hungary,Budapest,,0.0,0.0
Vilmos Kohut,1,1938,Hungary,Budapest,,0.0,0.0
Karoly Sandor,1,1958-1962,Hungary,Szeged,,0.0,0.0
Ferenc Sas,1,1938,Hungary,Budapest,,0.0,0.0
Erno Solymosi,1,1962,Hungary,Kingdom of Hungary,,0.0,0.0
Lazar Szentes,1,1982,Hungary,Bonyhád,,0.0,0.0
Pavel Teleki,1,1934,Hungary,Arad County (former),,0.0,0.0
Jozsef Toth,1,1978-1982,Hungary,Mosonmagyaróvár,,0.0,0.0
Andras Toth,1,1978,Hungary,Budapest,,0.0,0.0
Jozsef Varga,1,1982-1986,Hungary,Budapest,,0.0,0.0
Jeno Vincze,1,1934-1938,Hungary,Kingdom of Hungary,,0.0,0.0
Sandor Zombori,1,1978,Hungary,Pécs,,0.0,0.0
Alfred Finnbogason,1,2018,Iceland,Grindavík,,0.0,0.0
Gylfi Sigurdsson,1,2018,Iceland,Reykjavík,,0.0,0.0
Karim Ansarifard,1,2018,Iran,Ardabil,,0.0,0.0
Sohrab Bakhtiarizadeh,1,2006,Iran,Ahvaz,,0.0,0.0
Iraj Danaeifard,1,1978,Iran,Tehran,,0.0,0.0
Hamid Estili,1,1998,Iran,Tehran,,0.0,0.0
Reza Ghoochannejad,1,2014,Iran,Mashhad,,0.0,0.0
Yahya Golmohammadi,1,2006,Iran,Minabad - Ardabil,,0.0,0.0
Mehdi Mahdavikia,1,1998-2006,Iran,Ray - Iran,,0.0,0.0
Hassan Rowshan,1,1978,Iran,Tehran,,0.0,0.0
Ahmed Radhi,1,1986,Iraq,Baghdad,,0.0,0.0
John Aldridge,1,1990-1994,Ireland,Liverpool,,0.0,0.0
Gary Breen,1,2002,Ireland,Hendon,,0.0,0.0
Damien Duff,1,2002,Ireland,Ballyboden,,0.0,0.0
Matt Holland,1,2002,Ireland,Bury - Greater Manchester,,0.0,0.0
Ray Houghton,1,1990-1994,Ireland,Glasgow,,0.0,0.0
Niall Quinn,1,1990-2002,Ireland,Dublin,,0.0,0.0
Kevin Sheedy,1,1990,Ireland,Builth Wells,,0.0,0.0
Mordechai Spiegler,1,1970,Israel,Asbest,,0.0,0.0
Pietro Anastasi,1,1974,Italy,Catania,,0.0,0.0
Mario Balotelli,1,2014,Italy,Palermo,,0.0,0.0
Paolo Barison,1,1966,Italy,Vittorio Veneto,,0.0,0.0
Giampiero Boniperti,1,1950-1954,Italy,Barengo,,0.0,0.0
Tarcisio Burgnich,1,1966-1970-1974,Italy,Ruda - Italy,,0.0,0.0
Antonio Cabrini,1,1978-1982-1986,Italy,Cremona,,0.0,0.0
Fabio Capello,1,1974,Italy,San Canzian d'Isonzo,,0.0,0.0
Franco Causio,1,1974-1978-1982,Italy,Lecce,,0.0,0.0
Bruno Conti,1,1982-1986,Italy,Nettuno,,0.0,0.0
Daniele De Rossi,1,2006-2010,Italy,Rome,,0.0,0.0
Luigi Di Biagio,1,1998-2002,Italy,Rome,,0.0,0.0
Antonio Di Natale,1,2010,Italy,Naples,,0.0,0.0
Angelo Domenghini,1,1970,Italy,Lallio,,0.0,0.0
Pietro Ferraris,1,1938,Italy,Vercelli,,0.0,0.0
Amleto Frignani,1,1954,Italy,Carpi (Modena),,0.0,0.0
Carlo Galli,1,1954,Italy,Montecatini Terme,,0.0,0.0
Giuseppe Giannini,1,1990,Italy,Rome - Italy,,0.0,0.0
Alberto Gilardino,1,2006-2010,Italy,Biella,,0.0,0.0
Francesco Graziani,1,1982,Italy,Subiaco - Italy,,0.0,0.0
Fabio Grosso,1,2006,Italy,Rome,,0.0,0.0
Enrico Guaita,1,1934,Italy,Lucas González - Argentina,,0.0,0.0
Filippo Inzaghi,1,2002-2006,Italy,Piacenza,,0.0,0.0
Benito Lorenzi,1,1954,Italy,Buggiano,,0.0,0.0
Claudio Marchisio,1,2014,Italy,Turin,,0.0,0.0
Daniele Massaro,1,1994,Italy,Monza,,0.0,0.0
Sandro Mazzola,1,1966-1970-1974,Italy,Turin,,0.0,0.0
Bruno Mora,1,1962,Italy,Parma,,0.0,0.0
Ermes Muccinelli,1,1950-1954,Italy,Lugo di Romagna,,0.0,0.0
Fulvio Nesti,1,1954,Italy,Lastra a Signa,,0.0,0.0
Andrea Pirlo,1,2006-2010,Italy,Flero,,0.0,0.0
Fabio Quagliarella,1,2010,Italy,Castellammare di Stabia,,0.0,0.0
Aldo Serena,1,1986-1990,Italy,Montebelluna,,0.0,0.0
Francesco Totti,1,2002-2006,Italy,Rome,,0.0,0.0
Renato Zaccarelli,1,1978,Italy,Ancona,,0.0,0.0
Gianluca Zambrotta,1,2002-2006-2010,Italy,Como,,0.0,0.0
Robbie Earle,1,1998,Jamaica,Newcastle-under-Lyme,,0.0,0.0
Yasuhito Endo,1,2010,Japan,Kagoshima,,0.0,0.0
Genki Haraguchi,1,2018,Japan,Kumagaya - Saitama,,0.0,0.0
Shinji Kagawa,1,2018,Japan,Kobe,,0.0,0.0
Hiroaki Morishima,1,2002,Japan,Hiroshima,,0.0,0.0
Shunsuke Nakamura,1,2006-2010,Japan,Yokohama,,0.0,0.0
Hidetoshi Nakata,1,1998-2002-2006,Japan,Kofu,,0.0,0.0
Masashi Nakayama,1,1998-2002,Japan,Fujieda - Shizuoka,,0.0,0.0
Yuya Osako,1,2018,Japan,Kaseda - Kagoshima,,0.0,0.0
Takayuki Suzuki,1,2002,Japan,Hitachi - Ibaraki,,0.0,0.0
Keiji Tamada,1,2006-2010,Japan,Urayasu,,0.0,0.0
Abdulaziz Al-Buloushi,1,1982,Kuwait,NULL,Kuwait,0.0,0.0
Faisal Al-Dakhil,1,1982,Kuwait,Kuwait City,,0.0,0.0
Tomas Balcazar,1,1954,Mexico,Guadalajara,,0.0,0.0
Ignacio Basaguren,1,1970,Mexico,Mexico City,,0.0,0.0
Jaime Belmonte,1,1958,Mexico,Mexico City,,0.0,0.0
Marcelino Bernal,1,1994-1998,Mexico,Tepic,,0.0,0.0
Enrique Borja,1,1966,Mexico,Mexico City,,0.0,0.0
Juan Carreno,1,1930,Mexico,Mexico,,0.0,0.0
Horacio Casarin,1,1950,Mexico,Mexico City,,0.0,0.0
Alfredo Del Aguila,1,1962,Mexico,Mexico City,,0.0,0.0
Isidoro Diaz,1,1962-1966,Mexico,Acatlán de Juárez,,0.0,0.0
Giovani Dos Santos,1,2014,Mexico,Monterrey,,0.0,0.0
Luis Flores,1,1986,Mexico,Mexico City,,0.0,0.0
Francisco Fonseca,1,2006,Mexico,León - Guanajuato,,0.0,0.0
Javier Fragoso,1,1966-1970,Mexico,Mexico City,,0.0,0.0
Roberto Gayon,1,1930,Mexico,San José - Costa Rica,,0.0,0.0
Jose Gonzalez,1,1970,Mexico,Mexico City,,0.0,0.0
Andres Guardado,1,2014,Mexico,Guadalajara,,0.0,0.0
Hector Hernandez,1,1962,Mexico,Guadalajara,,0.0,0.0
Jose Lamadrid,1,1954,Mexico,Mexico City,,0.0,0.0
Hirving Lozano,1,2018,Mexico,Mexico City,,0.0,0.0
Manuel Negrete,1,1986,Mexico,Ciudad Altamirano-Guerrero,,0.0,0.0
Hector Ortiz,1,1950,Mexico,NULL,Mexico,0.0,0.0
Gustavo Pena,1,1966-1970,Mexico,Talpa de Allende,,0.0,0.0
Oribe Peralta,1,2014,Mexico,Torreón,,0.0,0.0
Victor Rangel,1,1978,Mexico,Mexico City,,0.0,0.0
Hugo Sanchez,1,1978-1986-1994,Mexico,Mexico City,,0.0,0.0
Raul Servin,1,1986,Mexico,Mexico City,,0.0,0.0
Gerardo Torrado,1,2002-2006-2010,Mexico,Mexico City,,0.0,0.0
Arturo Vazquez,1,1978,Mexico,Mexico City,,0.0,0.0
Carlos Vela,1,2018,Mexico,Cancún,,0.0,0.0
Zinha,1,2006,Mexico,Itajá - Rio Grande do Norte,,0.0,0.0
Khalid Boutaib,1,2018,Morocco,Bagnols-sur-Cèze,,0.0,0.0
Mohammed Chaouch,1,1994,Morocco,Aklim,,0.0,0.0
Youssef En Nesyri,1,2018,Morocco,Fez - Morocco,,0.0,0.0
Mahjoub Ghazouani,1,1970,Morocco,Hay Mohammadi,,0.0,0.0
Mustafa Hadji,1,1994-1998,Morocco,Tiznit,,0.0,0.0
Houmane Jarir,1,1970,Morocco,Casablanca - Morocco,,0.0,0.0
Abdelkarim Krimau,1,1986,Morocco,Casablanca,,0.0,0.0
Hassan Nader,1,1994,Morocco,Casablanca,,0.0,0.0
Edgar Davids,1,1998,Netherlands,Paramaribo,,0.0,0.0
Theo de Jong,1,1974,Netherlands,Leeuwarden,,0.0,0.0
Stefan De Vrij,1,2014,Netherlands,Ouderkerk aan den IJssel,,0.0,0.0
Ruud Gullit,1,1990,Netherlands,Amsterdam,,0.0,0.0
Wim Kieft,1,1990,Netherlands,Amsterdam,,0.0,0.0
Ronald Koeman,1,1990-1994,Netherlands,Zaandam,,0.0,0.0
Ruud Krol,1,1974-1978,Netherlands,Amsterdam,,0.0,0.0
Dirk Kuyt,1,2006-2010,Netherlands,Katwijk,,0.0,0.0
Dick Nanninga,1,1978,Netherlands,Groningen (city),,0.0,0.0
Marc Overmars,1,1994-1998,Netherlands,Emst,,0.0,0.0
Bryan Roy,1,1994,Netherlands,Amsterdam,,0.0,0.0
Kick Smit,1,1934-1938,Netherlands,Bloemendaal,,0.0,0.0
Gaston Taument,1,1994,Netherlands,The Hague,,0.0,0.0
Giovanni Van Bronckhorst,1,2006-2010,Netherlands,Rotterdam,,0.0,0.0
Rene Van De Kerkhof,1,1974-1978,Netherlands,Helmond,,0.0,0.0
Willy Van De Kerkhof,1,1978,Netherlands,Helmond,,0.0,0.0
Pierre van Hooijdonk,1,1998,Netherlands,Steenbergen,,0.0,0.0
Ruud Van Nistelrooy,1,2006,Netherlands,Oss,,0.0,0.0
Leen Vente,1,1934-1938,Netherlands,Rotterdam,,0.0,0.0
Georginio Wijnaldum,1,2014,Netherlands,Rotterdam,,0.0,0.0
Aron Winter,1,1990-1994-1998,Netherlands,Paramaribo,,0.0,0.0
Boudewijn Zenden,1,1998,Netherlands,Maastricht,,0.0,0.0
Winston Reid,1,2010,New Zealand,North Shore - New Zealand,,0.0,0.0
Shane Smeltz,1,2010,New Zealand,Göppingen,,0.0,0.0
Steve Sumner,1,1982,New Zealand,Preston - Lancashire,,0.0,0.0
Steve Wooddin,1,1982,New Zealand,England,,0.0,0.0
Mutiu Adepoju,1,1998,Nigeria,Ibadan,,0.0,0.0
Julius Aghahowa,1,2002,Nigeria,Benin City,,0.0,0.0
Tijani Babangida,1,1998,Nigeria,Kaduna,,0.0,0.0
Finidi George,1,1994-1998,Nigeria,Port Harcourt,,0.0,0.0
Victor Ikpeba,1,1998,Nigeria,Benin City,,0.0,0.0
Victor Moses,1,2018,Nigeria,Lagos,,0.0,0.0
Peter Odemwingie,1,2014,Nigeria,Tashkent,,0.0,0.0
Sunday Oliseh,1,1994-1998,Nigeria,Delta State,,0.0,0.0
Wilson Oruma,1,1998,Nigeria,Warri - Nigeria,,0.0,0.0
Samson Siasia,1,1994,Nigeria,Lagos,,0.0,0.0
Yakubu Aiyegbeni,1,2010,Nigeria,Benin City,,0.0,0.0
Rasheed Yekini,1,1994-1998,Nigeria,Kaduna,,0.0,0.0
Ji Yun Nam,1,2010,North Korea,Pyongyang,,0.0,0.0
Lee Dong Woon,1,1966,North Korea,Pyongyang,,0.0,0.0
Pak Doo Ik,1,1966,North Korea,Pyongyang,,0.0,0.0
Yang Seung Kook,1,1966,North Korea,Pyongyang,,0.0,0.0
Colin Clarke,1,1986,Northern Ireland,Newry,,0.0,0.0
Wilbur Cush,1,1958,Northern Ireland,Lurgan - County Armagh,,0.0,0.0
Norman Whiteside,1,1982-1986,Northern Ireland,Belfast,,0.0,0.0
Arne Brustad,1,1938,Norway,Oslo,,0.0,0.0
Dan Eggen,1,1998,Norway,Oslo,,0.0,0.0
Tore Andre Flo,1,1998,Norway,Flo - Norway,,0.0,0.0
Havard Flo,1,1998,Norway,Flo - Norway,,0.0,0.0
Felipe Baloy,1,2018,Panama,Panama City,,0.0,0.0
Antolin Alcaraz,1,2010,Paraguay,San Roque González de Santa Cruz,,0.0,0.0
Francisco Arce,1,1998-2002,Paraguay,Paraguari,,0.0,0.0
Celso Ayala,1,1998-2002,Paraguay,Asunción,,0.0,0.0
Miguel Benitez,1,1998,Paraguay,Santísima Trinidad (Asunción),,0.0,0.0
Jorge Campos,1,1998-2002,Paraguay,Acapulco,,0.0,0.0
Jose Cardozo,1,1998-2002,Paraguay,Nueva Italia - Paraguay,,0.0,0.0
Roque Santa Cruz,1,2002-2006-2010,Paraguay,Asunción,,0.0,0.0
Atilio Lopez,1,1950,Paraguay,Villarrica - Paraguay,,0.0,0.0
César López Fretes,1,1950,Paraguay,Asunción,,0.0,0.0
Luis Vargas Pena,1,1930,Paraguay,Paraguay,,0.0,0.0
Cayetano Re,1,1958,Paraguay,Asunción,,0.0,0.0
Cristian Riveros,1,2006-2010,Paraguay,Juan Augusto Saldívar,,0.0,0.0
Enrique Vera,1,2010,Paraguay,Asunción,,0.0,0.0
Andre Carrillo,1,2018,Peru,Lima,,0.0,0.0
Roberto Challe,1,1970,Peru,Lima,,0.0,0.0
Hector Chumpitaz,1,1970-1978,Peru,San Vicente de Cañete,,0.0,0.0
Cesar Cueto,1,1978-1982,Peru,Lima,,0.0,0.0
Ruben Diaz,1,1978-1982,Peru,Lima,,0.0,0.0
Paolo Guerrero,1,2018,Peru,Lima,,0.0,0.0
Guillermo La Rosa,1,1978-1982,Peru,Lima,,0.0,0.0
Luis Souza,1,1930,Peru,Lima,,0.0,0.0
Jose Velasquez,1,1978-1982,Peru,Lima,,0.0,0.0
Andrzej Buncol,1,1982-1986,Poland,Gliwice,,0.0,0.0
Jerzy Gorgon,1,1974-1978,Poland,Zabrze,,0.0,0.0
Grzegorz Krychowiak,1,2018,Poland,Gryfice,,0.0,0.0
Stefan Majewski,1,1982-1986,Poland,Bydgoszcz,,0.0,0.0
Emmanuel Olisadebe,1,2002,Poland,Warri,,0.0,0.0
Fryedryk Szerfke,1,1938,Poland,Pozna?,,0.0,0.0
Marcin Zewlakow,1,2002,Poland,Warsaw,,0.0,0.0
Hugo Almeida,1,2010,Portugal,Figueira da Foz,,0.0,0.0
Beto,1,2002,Portugal,Lisbon,,0.0,0.0
Rui Costa,1,2002,Portugal,Amadora,,0.0,0.0
Deco,1,2006-2010,Portugal,São Bernardo do Campo,,0.0,0.0
Diamantino,1,1986,Portugal,Moita,,0.0,0.0
Nuno Gomes,1,2002-2006,Portugal,Amarante - Portugal,,0.0,0.0
Liedson,1,2010,Portugal,Cairu,,0.0,0.0
Carlos Manuel,1,1986,Portugal,Moita,,0.0,0.0
Raul Meireles,1,2010,Portugal,Porto,,0.0,0.0
Nani,1,2014,Portugal,Amadora,,0.0,0.0
Ricardo Quaresma,1,2018,Portugal,Lisbon,,0.0,0.0
Simoes,1,1966,Portugal,Corroios,,0.0,0.0
Varela,1,2014,Portugal,Almada (freguesia),,0.0,0.0
Iuliu Baratki,1,1938,Romania,Nagyvárad,,0.0,0.0
Stefan Barbu,1,1930,Romania,Arad - Romania,,0.0,0.0
Emerich Dembrovschi,1,1970,Romania,Câmpulung la Tisa,,0.0,0.0
Adrian Ilie,1,1998,Romania,Craiova,,0.0,0.0
Alexandru Neagu,1,1970,Romania,Bucharest,,0.0,0.0
Constantin Stanciu,1,1930,Romania,Bucharest,,0.0,0.0
Vladimir Beschastnykh,1,2002,Russia,Moscow,,0.0,0.0
Mario Fernandes,1,2018,Russia,São Caetano do Sul,,0.0,0.0
Yury Gazinsky,1,2018,Russia,Komsomolsk-on-Amur,,0.0,0.0
Aleksandr Golovin,1,2018,Russia,Kaltan,,0.0,0.0
Valeri Karpin,1,1994-2002,Russia,Narva,,0.0,0.0
Aleksandr Kerzhakov,1,2014,Russia,Kingisepp,,0.0,0.0
Alexander Kokorin,1,2014,Russia,Valuyki - Belgorod Oblast,,0.0,0.0
Dmitri Radchenko,1,1994,Russia,Leningrad,,0.0,0.0
Dmitri Sychev,1,2002,Russia,Omsk,,0.0,0.0
Egor Titov,1,2002,Russia,Moscow,,0.0,0.0
Salem Aldawsari,1,2018,Saudi Arabia,Jeddah,,0.0,0.0
Salman Alfaraj,1,2018,Saudi Arabia,Al Madinah Al Munawwarah,,0.0,0.0
Fahad Al Ghesheyan,1,1994,Saudi Arabia,Riyadh,,0.0,0.0
Saeed Owairan,1,1994-1998,Saudi Arabia,Riyadh,,0.0,0.0
Yasser Al Kahtani,1,2006,Saudi Arabia,Riyadh,,0.0,0.0
Yousuf Al-Thunayan,1,1994-1998,Saudi Arabia,Riyadh,,0.0,0.0
Steve Archibald,1,1982-1986,Scotland,Glasgow,,0.0,0.0
Sammy Baird,1,1958,Scotland,Denny-Falkirk,,0.0,0.0
Craig Burley,1,1998,Scotland,Ayr,,0.0,0.0
Bobby Collins,1,1958,Scotland,Govanhill,,0.0,0.0
John Collins,1,1998,Scotland,Galashiels,,0.0,0.0
Mo Johnston,1,1990,Scotland,Glasgow,,0.0,0.0
Peter Lorimer,1,1974,Scotland,Dundee,,0.0,0.0
Stuart Mccall,1,1990,Scotland,Leeds,,0.0,0.0
Jack Mudie,1,1958,Scotland,Dundee,,0.0,0.0
Jimmy Murray,1,1958,Scotland,Edinburgh,,0.0,0.0
David Narey,1,1982-1986,Scotland,Dundee,,0.0,0.0
John Robertson,1,1978-1982,Scotland,Viewpark,,0.0,0.0
Graeme Souness,1,1978-1982-1986,Scotland,Edinburgh,,0.0,0.0
Gordon Strachan,1,1982-1986,Scotland,Edinburgh,,0.0,0.0
Salif Diao,1,2002,Senegal,Kédougou,,0.0,0.0
Khalilou Fadiga,1,2002,Senegal,Dakar,,0.0,0.0
Sadio Mane,1,2018,Senegal,Sédhiou Department,,0.0,0.0
Mbaye Niang,1,2018,Senegal,Meulan-en-Yvelines,,0.0,0.0
Moussa Wague,1,2018,Senegal,Bignona,,0.0,0.0
Sasa Ilic,1,2006,Serbia,Požarevac,,0.0,0.0
Milan Jovanovic,1,2010,Serbia,Bajina Bašta,,0.0,0.0
Aleksandar Kolarov,1,2018,Serbia,Belgrade,,0.0,0.0
Aleksandar Mitrovic,1,2018,Serbia,Smederevo,,0.0,0.0
Marko Pantelic,1,2010,Serbia,Belgrade,,0.0,0.0
Kamil Kopunek,1,2010,Slovakia,Trnava,,0.0,0.0
Milenko Acimovic,1,2002,Slovenia,Ljubljana,,0.0,0.0
Sebastijan Cimirotic,1,2002,Slovenia,Ljubljana,,0.0,0.0
Robert Koren,1,2010,Slovenia,Radlje ob Dravi,,0.0,0.0
Zlatan Ljubijankic,1,2010,Slovenia,Ljubljana,,0.0,0.0
Quinton Fortune,1,1998-2002,South Africa,Cape Town,,0.0,0.0
Bongani Khumalo,1,2010,South Africa,Manzini - Swaziland,,0.0,0.0
Teboho Mokoena,1,2002,South Africa,Bethlehem-South Africa,,0.0,0.0
Katlego Mphela,1,2010,South Africa,Brits - North West,,0.0,0.0
Siyabonga Nomvethe,1,2002-2010,South Africa,Durban,,0.0,0.0
Lucas Radebe,1,1998-2002,South Africa,Soweto,,0.0,0.0
Siphiwe Tshabalala,1,2010,South Africa,Soweto,,0.0,0.0
Choi Soon Ho,1,1986-1990,South Korea,Cheongju,,0.0,0.0
Huh Jung Moo,1,1986,South Korea,Jindo County,,0.0,0.0
Hwangbo Kwan,1,1990,South Korea,Daegu,,0.0,0.0
Koo Ja-Cheol,1,2014,South Korea,Nonsan-si,,0.0,0.0
Lee Keun Ho,1,2014,South Korea,Incheon,,0.0,0.0
Kim Jong Boo,1,1986,South Korea,Tongyeong,,0.0,0.0
Lee Chun Soo,1,2002-2006,South Korea,Incheon,,0.0,0.0
Lee Eul Yong,1,2002-2006,South Korea,Taebaek,,0.0,0.0
Park Chang Sun,1,1986,South Korea,Gimhae,,0.0,0.0
Park Chu Young,1,2006-2010,South Korea,Daegu,,0.0,0.0
Seo Jung Won,1,1998-2002,South Korea,Gwangju-si,,0.0,0.0
Seol Ki Hyeon,1,2002-2006,South Korea,Jeongseon,,0.0,0.0
Song Chong Gug,1,2002-2006,South Korea,Danyang,,0.0,0.0
Kim Younggwon,1,2018,South Korea,Jeonju,,0.0,0.0
Adelardo Rodríguez,1,1962-1966,Spain,Badajoz,,0.0,0.0
Amancio Amaro Varela,1,1966,Spain,A Coruña,,0.0,0.0
Juan Manuel Asensi,1,1978,Spain,Alicante,,0.0,0.0
Iago Aspas,1,2018,Spain,Moaña,,0.0,0.0
Txiki Begiristain,1,1986,Spain,Olaberria,,0.0,0.0
Luis Regueiro (Corso),1,1934,Spain,Irun - Euskadi,,0.0,0.0
Daniel Ruiz-Bazán Justa (Dani),1,1978,Spain,Sopuerta,,0.0,0.0
Eloy Olaya,1,1986,Spain,Gijón,,0.0,0.0
Jose Maria Fuste,1,1966,Spain,Linyola,,0.0,0.0
Alberto Gorriz,1,1990,Spain,Irun,,0.0,0.0
Pep Guardiola,1,1994-1998,Spain,Santpedor,,0.0,0.0
Silvestre Igoa,1,1950,Spain,San Sebastián,,0.0,0.0
Isco,1,2018,Spain,Benalmádena,,0.0,0.0
Juan Gutiérrez Moreno (Juanito),1,2006,Spain,Cádiz,,0.0,0.0
Francisco Miguel Narváez Machón (Kiko),1,1998,Spain,Jerez de la Frontera,,0.0,0.0
Isidoro Langara,1,1934,Spain,Pasaia,,0.0,0.0
Juan Mata,1,2014,Spain,Burgos,,0.0,0.0
Gaizka Mendieta,1,2002,Spain,Bilbao,,0.0,0.0
Nacho,1,2018,Spain,Madrid,,0.0,0.0
Joaquin Peiro,1,1962-1966,Spain,Madrid,,0.0,0.0
Pirri,1,1966-1978,Spain,Ceuta,,0.0,0.0
Carles Puyol,1,2002-2006-2010,Spain,La Pobla de Segur,,0.0,0.0
Manuel Sanchis,1,1966,Spain,Alberic-Valencia,,0.0,0.0
Enrique Saura,1,1982,Spain,Onda - Castellón,,0.0,0.0
Juan Antonio Senor,1,1986,Spain,Madrid,,0.0,0.0
Lopez Ufarte,1,1982,Spain,Fes,,0.0,0.0
Juan Carlos Valeron,1,2002,Spain,Arguineguín,,0.0,0.0
Jesus Zamora,1,1982,Spain,Errenteria,,0.0,0.0
Niclas Alexandersson,1,2002-2006,Sweden,Halmstad,,0.0,0.0
Marcus Allback,1,2002-2006,Sweden,Gothenburg,,0.0,0.0
Ludwig Augustinsson,1,2018,Sweden,Stockholm,,0.0,0.0
Gosta Dunker,1,1934,Sweden,Sweden,,0.0,0.0
Johnny Ekstrom,1,1990,Sweden,Kallebäck,,0.0,0.0
Emil Forsberg,1,2018,Sweden,Sundsvall,,0.0,0.0
Ove Grahn,1,1970-1974,Sweden,Norra Fågelås,,0.0,0.0
