Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Kurt Hamrin,4,1958,Sweden,Stockholm,,0.0,0.0
Henrik Larsson,4,1994-2002-2006,Sweden,Helsingborg,,0.0,0.0
Agne Simonsson,4,1958,Sweden,Göteborg,,0.0,0.0
Andre Abegglen,4,1934-1938,Switzerland,Neuchatel,,0.0,0.0
Robert Ballaman,4,1954,Switzerland,Reconvilier,,0.0,0.0
Carlos Borges,4,1954,Uruguay,Montevideo,,0.0,0.0
Alcides Ghiggia,4,1950,Uruguay,Montevideo,,0.0,0.0
Clint Dempsey,4,2006-2010-2014,USA,Nacogdoches-Texas,,0.0,0.0
Bert Patenaude,4,1930,USA,Fall River-Massachusetts,,0.0,0.0
Igor Belanov,4,1986,USSR,Odesa,,0.0,0.0
Anatoly Bishovets,4,1970,USSR,SEARCH MANUALLY,,0.0,0.0
Igor Chislenko,4,1962-1966,USSR,Moscow,,0.0,0.0
Valeriy Porkuyan,4,1966,USSR,Kirovohrad,,0.0,0.0
Julian Alvarez,4,2022,Argentina,SEARCH MANUALLY,,0.0,0.0
Luis Artime,3,1966,Argentina,Parque Civit-Argentina,,0.0,0.0
Jorge Burruchaga,3,1986-1990,Argentina,Gualeguay-Entre Ríos,,0.0,0.0
Orestes Corbatta,3,1958,Argentina,SEARCH MANUALLY,,0.0,0.0
Daniel Passarella,3,1978-1982,Argentina,Chacabuco-Buenos Aires,,0.0,0.0
Carlos Peucelle,3,1930,Argentina,Buenos Aires,,0.0,0.0
Maxi Rodriguez,3,2006-2010,Argentina,Rosario-Santa Fe,,0.0,0.0
Carlos Tevez,3,2006-2010,Argentina,Ciudadela-Buenos Aires,,0.0,0.0
Mile Jedinak,3,2014-2018,Australia,Camperdown-New South Wales,,0.0,0.0
Ernst Stojaspal,3,1954,Austria,Simmering (Vienna),,0.0,0.0
Theodor Wagner,3,1954,Austria,Vienna,,0.0,0.0
Leopold Anoul,3,1954,Belgium,Saint-Nicolas-Liège,,0.0,0.0
Nico Claesen,3,1986-1990,Belgium,Maasmechelen,,0.0,0.0
Eden Hazard,3,2018,Belgium,La Louvière,,0.0,0.0
Enzo Scifo,3,1986-1990-1994-1998,Belgium,La Louvière,,0.0,0.0
Amarildo,3,1962,Brazil,SEARCH MANUALLY,,0.0,0.0
Baltazar,3,1950-1954,Brazil,SEARCH MANUALLY,,0.0,0.0
Didi,3,1954-1958-1962,Brazil,SEARCH MANUALLY,,0.0,0.0
Roberto Dinamite,3,1978,Brazil,Duque de Caxias-Rio de Janeiro,,0.0,0.0
Dirceu,3,1974-1978-1982,Brazil,Curitiba,,0.0,0.0
Luis Fabiano,3,2010,Brazil,Campinas,,0.0,0.0
Falcao,3,1982,Brazil,SEARCH MANUALLY,,0.0,0.0
Peracio,3,1938,Brazil,Nova Lima,,0.0,0.0
Preguinho,3,1930,Brazil,Rio de Janeiro,,0.0,0.0
Romeu,3,1938,Brazil,SEARCH MANUALLY,,0.0,0.0
Cesar Sampaio,3,1998,Brazil,São Paulo,,0.0,0.0
Tostao,3,1966-1970,Brazil,Belo Horizonte,,0.0,0.0
Samuel Etoo,3,2002-2010,Cameroon,SEARCH MANUALLY,,0.0,0.0
